Data Number,Codes,Site Name,Latitude,Longitude,Elevation,Min. Depth,Max Depth,No. Temperatures,Temp. Gradient,No. Conductivities,Conductivity,No. Heat Production,Heat Production,Heat Flow,Red. Heat Flow,No. Sites,Reference No.
SU1213,EGAGZC,VOYAMPOL,58.3333,159.5,,40,1280,999,,,,,,46,5,62,66
SU1214,EGAGZC,BOLSHERE,52.6667,156.4167,,75,529,999,,,,,,65,1,62,66
SU1215,EGAGZC,BOGATSCH,54.9167,161,,40,2440,999,,,,,,70,6,62,66
SU1216,EGAGZC,DVUKHLAG,54.9167,160.75,,40,1300,999,,,,,,70,3,62,66
SU1217,EGAGZC,PETROPAV,53,158.6667,,400,580,999,,,,,,101,11,62,66
SU1218,EGABHB,ICHA,55.6333,156.0833,,,500,,43,,1.25,,,54,1,63,72
SU1219,EGABHB,TVAYAN,55.5,156.1667,,,600,,39,,1.3,,,50,1,63,72
SU1220,EGABHB,PARATUN,53,158.25,,,1060,,18,,2.7,,,50,1,63,72
SU1221,EGHNHB,KURILSK1,51.4167,157.0833,,-292,,,,,,,,67,1,63,72
SU1222,EGHNHB,KURILSK2,51.4167,157.085,,-276,,,,,,,,92,1,63,72
SU1223,,MALKIN10,53.3167,157.5333,,,,,,,,,,104,5,,
SU1224,EGABHC,MUMOCH,53.25,157.4167,,0,301,,19,,1.76,,,34,1,64,74
SU1225,EGABHB,NACHIKIN,53.1,157.75,,30,185,,50,,2.43,,,122,1,64,74
SU1226,,PARATU65,52.8333,158.4167,,,,,,,,,,67,2,,
SU1227,EGABHC,B-BANN10,52.85,157.8667,,200,450,,64,,2.29,,,147,1,64,74
SU1228,EGABHC,LEKHOVSK,53.45,159.4667,,30,100,,23,,2.17,,,50,1,64,74
SU1229,EGABHB,PINACHEV,53.2833,158.4,,70,1200,,36,,2.2,,,79,1,64,74
SU1230,EGABHB,AVACHIN1,53.1,158.7167,,240,300,,17,,2.4,,,41,1,64,74
SU1231,EGABHB,AVACHIN2,53.1333,158.6833,,140,265,,18,,2.4,,,42,1,64,74
SU1232,EGABHB,KOSHELEV,51.3833,156.5333,,380,560,,87,,1.04,,,91,1,64,74
SU1233,,BOGACGK6,54.9167,161,,,,,,,,,,39,2,,
SU1234,EGAFHC,AVACHIN1,53.1,158.7167,,530,1100,,23,,2.64,,,62,1,66,72
SU1235,,PARATU10,52.8333,158.4167,,,,,,,,,,62,5,,
SU1236,EHLGHB,KURIL-1A,51.4167,157.0833,,-220,,,410,,0.84,,,343,1,67,80
SU1237,EHLGHB,K-1B,51.4167,157.0833,,-220,,,310,,0.84,,,260,1,67,80
SU1238,EHLGHB,K-1C,51.4167,157.0833,,-220,,,275,,0.84,,,130,1,67,80
SU1239,EHLGHB,K-4,51.4167,157.0833,,-280,,,250,,0.84,,,209,1,67,80
SU1240,EHLGHB,K-8A,51.4167,157.0833,,-300,,,275,,0.84,,,230,1,67,80
SU1241,EHLGHB,K-8B,51.4167,157.0833,,-300,,,262,,0.84,,,220,1,67,80
SU1242,EHLGHB,K-9,51.4167,157.0833,,-310,,,230,,0.84,,,192,1,67,80
SU1243,EHLGHB,K-10A,51.4167,157.0833,,-310,,,375,,0.84,,,314,1,67,80
SU1244,EHLGHB,K-10B,51.4167,157.0833,,-310,,,337,,0.84,,,282,1,67,80
SU1245,EHLGHB,K-12A,51.4167,157.0833,,-270,,,250,,0.84,,,209,1,67,80
